# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

大竹岛	(大竹島)	663	0030
大年县	(大年縣)	664	0030
大伊镇	(大伊鎮)	665	0030
大华山	(大華山)	666	0030
大行关	(大行關)	667	0030
大行城		668	0030
大会墟	(大會墟)	669	0030
大名县	(大名縣)	670	0030
大名府		671	0030
大名城		672	0030
大名路		673	0030
大庆关	(大慶關)	674	0030
大产村	(大產村)	675	0030
大关厅	(大關廳)	676	0030
大江口		677	0030
大池县	(大池縣)	678	0030
大兴场	(大興場)	679	0030
大兴县	(大興縣)	680	0030
大兴苑	(大興苑)	681	0031
大兴府	(大興府)	682	0031
大兴城	(大興城)	683	0031
大兴郡	(大興郡)	684	0031
大安山		685	0031
大安州		686	0031
大安军	(大安軍)	687	0031
大安里		688	0031
大安县	(大安縣)	689	0031
大安府		690	0031
大安郡		691	0031
大安站		692	0031
大安溪		693	0031
大阳山	(大陽山)	694	0031
大阳县	(大陽縣)	695	0031
大阳津	(大陽津)	696	0031
大阳桥	(大陽橋)	697	0031
大观亭	(大觀亭)	698	0031
大观港	(大觀港)	699	0031
大牟县	(大牟縣)	700	0031
大赤县	(大赤縣)	701	0031
大甫县	(大甫縣)	702	0031
大坞城	(大塢城)	703	0031
大苏山	(大蘇山)	704	0032
大苏堡	(大蘇堡)	705	0032
大来谷	(大來谷)	706	0032
大步海		707	0032
大岭城	(大嶺城)	708	0032
大岘山	(大峴山)	709	0032
大岘城	(大峴城)	710	0032
大足县	(大足縣)	711	0032
大邑县	(大邑縣)	712	0032
大利县	(大利縣)	713	0032
大伾山		714	0032
大岔坑		715	0032
大谷关	(大谷關)	716	0032
大谷郡		717	0032
大邸阁	(大邸閣)	718	0032
大冶县	(大冶縣)	719	0032
大汶口		720	0032
大牢县	(大牢縣)	721	0032
大良堡		722	0032
大陆村	(大陸村)	723	0032
大陆县	(大陸縣)	724	0032
大陆泽	(大陸澤)	725	0032
大陈山	(大陳山)	726	0032
大陂站		727	0032
大武山		728	0032
大武军	(大武軍)	729	0032
大武陇	(大武隴)	730	0033
大坨头	(大坨頭)	731	0033
大坡铺	(大坡鋪)	732	0033
大茂山		733	0033
大林寺		734	0033
大松山		735	0033
大非川		736	0033
大明寺		737	0033
大明宫	(大明宮)	738	0033
大明湖		739	0033
大忠祠		740	0033
大昌关	(大昌關)	741	0033
大昌县	(大昌縣)	742	0033
大罗山	(大羅山)	743	0033
大固寨		744	0033
大和寨		745	0033
大和堡		746	0033
大狐山		747	0033
大沫崮		748	0033
大店驿	(大店驛)	749	0033
大金川		750	0033
大斧山		751	0033
大河卫	(大河衛)	752	0033
大泽乡	(大澤鄉)	753	0033
大定戍		754	0033
大定州		755	0033
大定县	(大定縣)	756	0033
大定府		757	0033
大宛国	(大宛國)	758	0034
大祉澳		759	0034
大房山		760	0034
大房岭	(大房嶺)	761	0034
大姑岭	(大姑嶺)	762	0034
大姑塘		763	0034
大孤山		764	0034
大胡山		765	0034
大赵镇	(大趙鎮)	766	0034
大城子		767	0034
大城关	(大城關)	768	0034
大城县	(大城縣)	769	0034
大要县	(大要縣)	770	0034
大厘城		771	0034
大荆寨		772	0034
大荔县	(大荔縣)	773	0034
大荔国	(大荔國)	774	0034
大柳镇	(大柳鎮)	775	0034
大柳庄		776	0034
大昭寺		777	0034
大昭泽	(大昭澤)	778	0034
大星尖		779	0034
大星澳		780	0034
大辟山		781	0034
大顺城	(大順城)	782	0034
大剑戍	(大劍戍)	783	0034
大宣乡	(大宣鄉)	784	0035
大室山		785	0035
大姚县	(大姚縣)	786	0035
大秦寺		787	0035
大埔村		788	0035
大埔县	(大埔縣)	789	0035
大桥堡	(大橋堡)	790	0035
大桥镇	(大橋鎮)	791	0035
大桃戍		792	0035
大都县	(大都縣)	793	0035
大都城		794	0035
大都路		795	0035
大索城		796	0035
大盐池	(大鹽池)	797	0035
大夏川		798	0035
大夏州		799	0035
大夏县	(大夏縣)	800	0035
大夏郡		801	0036
大峰山		802	0036
大峎营	(大峎營)	803	0036
大翁铺	(大翁鋪)	804	0036
大奚山		805	0036
大唐峰		806	0036
大涉水		807	0036
大宾县	(大賓縣)	808	0036
大陵县	(大陵縣)	809	0036
大陵邑		810	0036
大通卫	(大通衛)	811	0036
大通县	(大通縣)	812	0036
大通河		813	0036
大通监	(大通監)	814	0036
大通营	(大通營)	815	0036
大通镇	(大通鎮)	816	0036
大理水		817	0036
大理国	(大理國)	818	0036
大理府		819	0036
大理路		820	0036
大黄里	(大黃里)	821	0036
大曹镇	(大曹鎮)	822	0036
