# 国家地名信息库·月球地名
# https://dmfw.mca.gov.cn/moon.html
#
# 标准译名	国际通用名	地形类别

仁慈湖	Lacus Bonitatis	月湖
时令湖	Lacus Temporis	月湖
死湖	Lacus Mortis	月湖
温柔湖	Lacus Lenitatis	月湖
希望湖	Lacus Spei	月湖
夏湖	Lacus Aestatis	月湖
幸福湖	Lacus Felicitatis	月湖
秀丽湖	Lacus Excellentiae	月湖
忧伤湖	Lacus Doloris	月湖
怨恨湖	Lacus Odii	月湖
爱湾	Sinus Amoris	月湾
成功湾	Sinus Successus	月湾
和谐湾	Sinus Concordiae	月湾
虹湾	Sinus Iridum	月湾
狂暴湾	Sinus Asperitatis	月湾
浪湾	Sinus Aestuum	月湾
露湾	Sinus Roris	月湾
眉月湾	Sinus Lunicus	月湾
荣誉湾	Sinus Honoris	月湾
信赖湾	Sinus Fidei	月湾
中央湾	Sinus Medii	月湾
腐沼	Palus Putredinis	月沼
睡沼	Palus Somni	月沼
疫沼	Palus Epidemiarum	月沼
阿格鲁姆海角	Promontorium Agarum	海角、岬
阿切鲁西亚海角	Promontorium Archerusia	海角、岬
菲涅耳海角	Promontorium Fresnel	海角、岬
开尔文海角	Promontorium Kelvin	海角、岬
拉普拉斯岬	Promontorium Laplace	海角、岬
泰纳里厄姆海角	Promontorium Taenarium	海角、岬
阿波罗尼奥斯	Apollonius	环形山、坑
阿尔塔莫诺夫	Artamonov	环形山、坑
阿尔扎赫尔	Arzachel	环形山、坑
阿米奇	Amici	环形山、坑
阿那克西曼德	Anaximander	环形山、坑
阿努钦	Anuchin	环形山、坑
阿诺尔德	Arnold	环形山、坑
阿普顿	Appleton	环形山、坑
阿维森纳	Avicenna	环形山、坑
埃尔维	Elvey	环形山、坑
埃弗谢德	Evershed	环形山、坑
埃罗	Erro	环形山、坑
埃文斯	Evans	环形山、坑
埃因托芬	Einthoven	环形山、坑
艾布o 菲达	Abulfeda	环形山、坑
艾克曼	Eijkman	环形山、坑
安东尼亚迪	Antoniadi	环形山、坑
奥伯斯	Olbers	环形山、坑
奥伯特	Oberth	环形山、坑
奥布鲁切夫	Obruchev	环形山、坑
奥戴	O'Day	环形山、坑
奥肯	Oken	环形山、坑
奥雷姆	Oresme	环形山、坑
巴巴	Bhabha	环形山、坑
巴德	Baade	环形山、坑
巴尔比耶	Barbier	环形山、坑
巴尔代	Baldet	环形山、坑
巴尔沃亚	Balboa	环形山、坑
巴克伦德	Backlund	环形山、坑
巴纳赫维奇	Banachiewicz	环形山、坑
巴特尔斯	Bartels	环形山、坑
拜耶林克	Beijerinck	环形山、坑
邦普朗	Bonpland	环形山、坑
贝采利乌斯	Berzelius	环形山、坑
贝罗索斯	Berosus	环形山、坑
贝奇瓦日	Bečvář	环形山、坑
本生	Bunsen	环形山、坑
比松	Buisson	环形山、坑
比兴	Büsching	环形山、坑
彼得罗帕夫洛夫斯基	Petropavlovskiy	环形山、坑
彼得曼	Petermann	环形山、坑
别利亚耶夫	Belyaev	环形山、坑
别林斯高晋	Bellinsgauzen (Bellingshausen)	环形山、坑
别洛波利斯基	Belopol'skiy	环形山、坑
波波夫	Popov	环形山、坑
波尔祖诺夫	Polzunov	环形山、坑
波特	Porter	环形山、坑
波西	Pawsey	环形山、坑
玻意耳	Boyle	环形山、坑
伯尔拉赫	Berlage	环形山、坑
伯克兰	Birkeland	环形山、坑
博尔曼	Borman	环形山、坑
博古斯瓦夫斯基	Boguslawsky	环形山、坑
博蒙	Beaumont	环形山、坑
布尔	Boole	环形山、坑
布尔克哈特	Burckhardt	环形山、坑
布赫	Buch	环形山、坑
布拉日科	Blazhko	环形山、坑
布拉希尔	Brashear	环形山、坑
布朗克	Bronk	环形山、坑
布列季欣	Bredikhin	环形山、坑
布隆内尔	Brunner	环形山、坑
采拉斯基	Tseraskiy (Ceraski)	环形山、坑
查理士	Challis	环形山、坑
达朗伯	d'Alembert	环形山、坑
代达罗斯	Daedalus	环形山、坑
戴森	Dyson	环形山、坑
戴维孙	Davisson	环形山、坑
丹戎	Danjon	环形山、坑
德费尔	Doerfel	环形山、坑
德弗里斯	De Vries	环形山、坑
