# 兩岸差異用詞
# https://github.com/g0v/moedict-data-csld/blob/master/兩岸差異用詞.xlsx
# https://dict.concised.moe.edu.tw/appendix.jsp?ID=54
# 差異別: 1=兩岸同實異名-753; 2=兩岸同名異實-97; 3=臺灣特有-801; 4=大陸特有-3301
# 
# 臺灣詞	大陸詞	差異別

選殖	克隆化	1
郵遞區號	郵編	1
閘道	網關	1
隨身碟	大拇哥	1
隨身碟	快閃記憶體盤	1
隨身碟	霹靂碟	1
雙薪家庭	雙職工家庭	1
雷射刀	激光刀	1
首席營運長	運營官	1
驅動程式	驅動程序	1
黑箱作業	黑箱操作	1
主記憶體	內存	1
二氧化碳雷射儀	二氧化碳激光器	1
代理伺服器	代理服務器	1
位元組	字節	1
位元每秒	比特每秒	1
保證價格	保護價	1
保全	保安員	1
倒數	倒讀數	1
公車站牌	公交車站牌	1
分散式網路	分散式網絡	1
加護病房	重症監護室	1
即溶	速溶	1
哈拉	海吹	1
嚴重急性呼吸道症候群	嚴重急性呼吸綜合徵	1
園遊會	遊園會	1
土石流	泥石流	1
塑膠貨幣	電子貨幣	1
士官長	軍士長	1
外匯存底	外匯儲備	1
太空人	宇航員	1
太空飛行員	宇航員	1
威而鋼	偉哥	1
嬉皮	嬉皮士	1
家家酒	過家家	1
彈道飛彈	彈道式導彈	1
快速道路	快速路	1
戴奧辛	二噁英	1
扮家家酒	過家家	1
掩埋場	堆填場	1
掩埋場	填埋區	1
教學軟體	課件	1
柔軟精	柔順劑	1
核子反應器爐心壽命	換料週期	1
殖株	克隆	1
殘障奧運會	殘奧會	1
殘障奧運會	殘疾人奧運會	1
殘障奧運會	殘疾人奧林匹克運動會	1
每秒傳輸千位元數	每秒千字節	1
氟氯烷	氟利昂	1
波以耳定律	玻意耳定律	1
注意力缺陷過動症	多動症	1
洗版	刷屏	1
潛盾機	盾構機	1
無灰粉筆	無塵粉筆	1
燃料裝填週期	堆芯壽期	1
瓦斯鋼瓶	煤氣罐	1
甘胺酸	甘氨酸	1
生理食鹽水	生理鹽水	1
矽肺	硅肺	1
矽鋼	硅鋼	1
硬碟	硬磁盤	1
硬體	硬設備	1
硬體	硬件	1
禮貌性	禮節性	1
程式控制	程序控制	1
竊盜案	盜竊案	1
競速滑冰	速度滑冰	1
系統軟體	系統軟件	1
紅血球生成素	紅細胞生成素	1
網路美女	網絡美女	1
網路症候群	網絡綜合徵	1
胸腔科	胸科	1
腦力激盪	頭腦風暴	1
自體免疫疾病	自身免疫疾病	1
航太人	航天人	1
花式溜冰	花樣滑冰	1
華爾滋	華爾茲	1
蒸散作用	蒸騰作用	1
薪水階級	工薪族	1
藍白當機畫面	藍屏死機	1
護貝	過塑	1
貝他射線	貝塔射線	1
資訊系統	信息系統	1
輻合思考	輻合思維	1
通關機	閘機	1
速賜康	噴他佐辛	1
重量莫耳濃度	重量摩爾濃度	1
鑽漏洞	鑽空子	1
雙層公車	雙層公交車	1
電腦程式	軟件程序	1
電腦音樂	計算機音樂	1
高乘載專用道	多成員車輛專用道	1
高畫質	高解像	1
僑生		2
勞保		2
大運會		2
正點		2
社會青年		2
脫產		2
衛生棉		2
重車		2
電子眼		2
喻體		2
整人		2
熱電		2
脫線		2
裂解		2
補習班		2
西餐秀		2
離島		2
高考		2
下半旗		2
互助會		2
以人為本		2
公車		2
公關		2
夯歌		2
女同志		2
房車		2
校安		2
民主革命		2
班主任		2
礦務局		2
空檔		2
群眾路線		2
自由市場		2
證婚人		2
配股		2
鐵齒		2
離線作業		2
體位		2
高級工程師		2
分管		2
土豆		2
大字報		2
市鎮		2
揭彩		2
桌球		2
稅單		2
農會		2
遠走高飛		2
高級中學		2
黑石鱸		2
公共關係		2
壓車		2
延長線		2
影集		2
掛點		2
油品		2
燴飯		2
生產力		2
落忍		2
農保		2
雞精		2
高工		2
公益卡		2
包班制		2
安心卡		2
定錢		2
小兩會		2
梯次		2
繼承法		2
臨檢		2
自駕車		2
豬草		2
路霸		2
金庫		2
降半旗		2
定金		2
會計師		2
民主人士		2
民事責任		2
窩心		2
衛生院		2
連線		2
高妹		2
上訴		2
五育		2
家長會		2
晨練		2
