# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

一佛出世，二佛涅盤	一佛出世，二佛涅盘	1000010243				yìfóchūshì,èrfónièpán	yīfóchūshì,èrfónièpán
一肚子	一肚子	1000010244				yídùzi	yīdùzi
一免一補	一免一补	1000010245		★		yìmiǎn-yìbǔ	yīmiǎn-yībǔ
一角	一角	1000010246	1			yìjiǎo	yījiǎo
一角	一角	1000010246	2			yìjué	yījué
一系列		1000010247				yíxìliè	yīxìliè
一注		1000010249				yízhù	yīzhù
一波		1000010250				yìbō	yībō
一波三折		1000010251				yìbō-sānzhé	yībō-sānzhé
一波未平，一波又起		1000010252				yìbō-wèipínɡ,yìbō-yòuqǐ	yībō-wèipínɡ,yībō-yòuqǐ
一泡		1000010254	1			yípào	yīpào
一泡		1000010254	2			yìpāo	yīpāo
一泓		1000010256				yìhónɡ	yīhónɡ
一宗	一宗	1000010257				yìzōnɡ	yīzōnɡ
一定		1000010258				yídìnɡ	yīdìnɡ
一官半職	一官半职	1000010260				yìɡuān-bànzhí	yīɡuān-bànzhí
一空	一空	1000010261				yìkōnɡ	yīkōnɡ
一夜情	一夜情	1000010262				yíyèqínɡ	yīyèqínɡ
一府二鹿三艋舺	一府二鹿三艋舺	1000010263				yīfǔ èrlù sānměnɡjiǎ	
一刻		1000010264				yíkè	yīkè
一刻千金		1000010265				yíkè-qiānjīn	yīkè-qiānjīn
一表		1000010267				yìbiǎo	yībiǎo
一表人才		1000010268				yìbiǎo-réncái	yībiǎo-réncái
一直		1000010270				yìzhí	yīzhí
一枕黃粱	一枕黄粱	1000010271				yìzhěn-huánɡliánɡ	yīzhěn-huánɡliánɡ
一枝花	一枝花	1000010272				yìzhīhuā	yīzhīhuā
一枝春		1000010273				yìzhīchūn	yīzhīchūn
一枝草，一點露	一枝草，一点露	1000010274		▲		yìzhīcǎo,yìdiǎnlù	yīzhīcǎo,yīdiǎnlù
一枝獨秀	一枝独秀	1000010276				yìzhī-dúxiù	yīzhī-dúxiù
一板一眼	一板一眼	1000010277				yìbǎn-yìyǎn	yībǎn-yīyǎn
一來	一来	1000010278				yìlái	yīlái
一來一往	一来一往	1000010279				yìlái-yìwǎnɡ	yīlái-yīwǎnɡ
一來二去	一来二去	1000010280				yìlái-èrqù	yīlái-èrqù
一東一西	一东一西	1000010281				yìdōnɡ-yìxī	yīdōnɡ-yīxī
一事		1000010282				yíshì	yīshì
一事無成	一事无成	1000010283				yíshì-wúchénɡ	yīshì-wúchénɡ
一抹		1000010284				yìmǒ	yīmǒ
一拋	一抛	1000010285				yìpāo	yīpāo
一拍即合		1000010286				yìpāi-jíhé	yīpāi-jíhé
一芹	一芹	1000010290				yìqín	yīqín
一些	一些	1000010291				yìxiē	yīxiē
一些些	一些些	1000010292				yìxiēxiē	yīxiēxiē
一味		1000010294				yíwèi	yīwèi
一門	一门	1000010295				yìmén	yīmén
一呼百諾	一呼百诺	1000010298				yìhū-bǎinuò	yīhū-bǎinuò
一呼百應	一呼百应	1000010299				yìhū-bǎiyìnɡ	yīhū-bǎiyìnɡ
一命		1000010301				yímìnɡ	yīmìnɡ
一命嗚呼	一命呜呼	1000010302				yímìnɡ-wūhū	yīmìnɡ-wūhū
一念	一念	1000010304				yíniàn	yīniàn
一念之差	一念之差	1000010305				yíniànzhīchā	yīniànzhīchā
一念之間	一念之间	1000010306				yíniàn-zhījiān	yīniàn-zhījiān
一斧子砍到底	一斧子砍到底	1000010307		★		yì fǔzi kǎn dàodǐ	yī fǔzi kǎn dàodǐ
一知半解	一知半解	1000010308				yìzhī-bànjiě	yīzhī-bànjiě
一物降一物		1000010309				yí wù xiánɡ yí wù	yī wù xiánɡ yī wù
一併	一并	1000010310				yíbìnɡ	yībìnɡ
一例		1000010311				yílì	yīlì
一往情深	一往情深	1000010312				yìwǎnɡ-qínɡshēn	yīwǎnɡ-qínɡshēn
一往無前	一往无前	1000010313				yìwǎnɡ-wúqián	yīwǎnɡ-wúqián
一房一驗	一房一验	1000010314		★		yìfánɡ-yíyàn	yīfánɡ-yīyàn
一肩挑	一肩挑	1000010315				yìjiāntiāo	yījiāntiāo
一股勁兒	一股劲儿	1000010316				yìɡǔjìnɡr	yīɡǔjìnr
一股腦兒	一股脑儿	1000010317				yìɡǔnǎor	yīɡǔnǎor
一周		1000010319				yìzhōu	yīzhōu
一忽兒	一忽儿	1000010320				yìhūr	yīhūr
一狐之腋	一狐之腋	1000010321				yìhúzhīyè	yīhúzhīyè
一姐	一姐	1000010322				yìjiě	yījiě
一姓	一姓	1000010323				yíxìnɡ	yīxìnɡ
一流	一流	1000010324				yìliú	yīliú
一派		1000010325				yípài	yīpài
一派胡言	一派胡言	1000010326				yípài-húyán	yīpài-húyán
一客不煩二主	一客不烦二主	1000010328				yíkè bùfán èrzhǔ	yīkè bùfán èrzhǔ
一度		1000010329				yídù	yīdù
一炬	一炬	1000010331				yíjù	yījù
一炮打響	一炮打响	1000010332		★		yípào-dǎxiǎnɡ	yīpào-dǎxiǎnɡ
一炮而紅	一炮而红	1000010333				yípào’érhónɡ	yīpào’érhónɡ
一軍	一军	1000010334		▲		yìjūn	yījūn
一柱擎天	一柱擎天	1000010335				yízhù-qínɡtiān	yīzhù-qínɡtiān
一相情願	一厢情愿	1000010336				yìxiānɡ-qínɡyuàn	yīxiānɡ-qínɡyuàn
一軌	一轨	1000010337				yìɡuǐ	yīɡuǐ
一面		1000010338				yímiàn	yīmiàn
一面之交		1000010339				yímiànzhījiāo	yīmiànzhījiāo
一面之詞	一面之词	1000010340				yímiànzhīcí	yīmiànzhīcí
一面之緣	一面之缘	1000010341				yímiànzhīyuán	yīmiànzhīyuán
一面倒		1000010343				yímiàndǎo	yīmiàndǎo
一致	一致	1000010345				yízhì	yīzhì
一致百慮	一致百虑	1000010346				yízhì-bǎilǜ	yīzhì-bǎilǜ
一指禪	一指禅	1000010347				yìzhǐchán	yīzhǐchán
一指禪推法	一指禅推法	1000010348				yìzhǐchán tuīfǎ	yīzhǐchán tuīfǎ
一是一，二是二		1000010350				yī shì yī,èr shì èr	
一則	一则	1000010351				yìzé	yīzé
一則以喜，一則以憂	一则以喜，一则以忧	1000010352				yìzéyǐxǐ,yìzéyǐyōu	yīzéyǐxǐ,yīzéyǐyōu
