# 现代汉语规范词典(第4版)-2022年
# 现代汉语规范词典第2版（文字版）
# https://forum.freemdict.com/t/topic/21075
# https://forum.freemdict.com/t/topic/18266
#
# 字词	完整字词	拼音

一得之愚	一得之愚	yīdézhīyú
一得之见	一得之见	yīdézhījiàn
一心	一心	yīxīn
一心一德	一心一德	yīxīn-yīdé
一心一意	一心一意	yīxīn-yīyì
一心为公	一心为公	yīxīn-wèigōng
一念之差	一念之差	yīniànzhīchā
一怔	一怔	yīzhèng
一总	一总	yīzǒng
一息尚存	一息尚存	yīxī-shàngcún
一意孤行	一意孤行	yīyì-gūxíng
一成不变	一成不变	yīchéng-bùbiàn
一手	一手	yīshǒu
一手遮天	一手遮天	yīshǒu-zhētiān
一扫而光	一扫而光	yīsǎo'érguāng
一扫而空	一扫而空	yīsǎo'érkōng
一技之长	一技之长	yījìzhīcháng
一把手	一把手	yībǎshǒu
一把抓	一把抓	yībǎzhuā
一拍即合	一拍即合	yīpāi-jíhé
一挥而就	一挥而就	yīhuī'érjiù
一掷千金	一掷千金	yīzhì-qiānjīn
一揽子	一揽子	yīlǎnzi
一改故辙	一改故辙	yīgǎi-gùzhé
一整套	一整套	yīzhěngtào
一文不名	一文不名	yīwén-bùmíng
一斑	一斑	yībān
一新	一新	yīxīn
一方	一方	yīfāng
一方面	一方面	yīfāngmiàn
一旁	一旁	yīpáng
一无所得	一无所得	yīwúsuǒdé
一无所有	一无所有	yīwúsuǒyǒu
一无所求	一无所求	yīwúsuǒqiú
一无所知	一无所知	yīwúsuǒzhī
一无所能	一无所能	yīwúsuǒnéng
一无所获	一无所获	yīwúsuǒhuò
一无所见	一无所见	yīwúsuǒjiàn
一无所长	一无所长	yīwúsuǒcháng
一无是处	一无是处	yīwú-shìchù
一日三秋	一日三秋	yīrì-sānqiū
一日之雅	一日之雅	yīrìzhīyǎ
一日千里	一日千里	yīrì-qiānlǐ
一旦	一旦	yīdàn
一早	一早	yīzǎo
一时	一时	yīshí
一时一刻	一时一刻	yīshí-yīkè
一时半会	一时半会儿	
一时半会儿	一时半会儿	yīshí-bànhuìr
一时半刻	一时半刻	yīshí-bànkè
一时间	一时间	yīshíjiān
一星	一星儿	
一星儿	一星儿	yīxīngr
一星半点	一星半点儿	
一星半点儿	一星半点儿	yīxīng-bàndiǎnr
一显身手	一显身手	yīxiǎn-shēnshǒu
一晃	一晃	yīhuàng
一晃	一晃	yīhuǎng
一暴十寒	一暴十寒	yīpù-shíhán
一曝十寒	一曝十寒	yīpù-shíhán
一望无际	一望无际	yīwàng-wújì
一朝	一朝	yīzhāo
一朝一夕	一朝一夕	yīzhāo-yīxī
一木难支	一木难支	yīmù-nánzhī
一本万利	一本万利	yīběn-wànlì
一本正经	一本正经	yīběn-zhèngjīng
一条心	一条心	yītiáoxīn
一条街	一条街	yītiáojiē
一条龙	一条龙	yītiáolóng
一来二去	一来二去	yīlái-èrqù
一板一眼	一板一眼	yībǎn-yīyǎn
一枕黄粱	一枕黄粱	yīzhěn-huángliáng
一枝独秀	一枝独秀	yīzhī-dúxiù
一样	一样	yīyàng
一根筋	一根筋	yīgēnjīn
一棍子打死	一棍子打死	yī gùnzi dǎsǐ
一概	一概	yīgài
一概而论	一概而论	yīgài'érlùn
一槌定音	一锤定音	
一模一样	一模一样	yīmú-yīyàng
一次性	一次性	yīcìxìng
一步到位	一步到位	yībù-dàowèi
一步登天	一步登天	yībù-dēngtiān
一步裙	一步裙	yībùqún
一毛不拔	一毛不拔	yīmáo-bùbá
一气	一气	yīqì
一气呵成	一气呵成	yīqì-hēchéng
一氧化碳	一氧化碳	yīyǎnghuàtàn
一水	一水儿	
一水儿	一水儿	yīshuǐr
一波三折	一波三折	yībō-sānzhé
一波未平，一波又起	一波未平，一波又起	yībō-wèipíng,yībō-yòuqǐ
一泻千里	一泻千里	yīxiè-qiānlǐ
一派	一派	yīpài
一流	一流	yīliú
一清二楚	一清二楚	yīqīng-èrchǔ
一清二白	一清二白	yīqīng-èrbái
一清早	一清早	yīqīngzǎo
一溜	一溜儿	
一溜儿	一溜儿	yīliùr
一溜歪斜	一溜歪斜	yīliù-wāixié
一溜烟	一溜烟	yīliùyān
一溜风	一溜风	yīliùfēng
一潭死水	一潭死水	yītán-sǐshuǐ
一炮打响	一炮打响	yīpào-dǎxiǎng
一点	一点儿	
一点一滴	一点一滴	yīdiǎn-yīdī
一点儿	一点儿	yīdiǎnr
一片冰心	一片冰心	yīpiàn-bīngxīn
一物降一物	一物降一物	yī wù xiáng yī wù
一生	一生	yīshēng
一生一世	一生一世	yīshēng-yīshì
一番	一番	yīfān
一病不起	一病不起	yībìngbùqǐ
一盘散沙	一盘散沙	yīpán-sǎnshā
一盘棋	一盘棋	yīpánqí
一目了然	一目了然	yīmù-liǎorán
一目十行	一目十行	yīmù-shíháng
一直	一直	yīzhí
一相情愿	一相情愿	yīxiāng-qíngyuàn
一眨眼	一眨眼	yīzhǎyǎn
一眼	一眼	yīyǎn
一瞥	一瞥	yīpiē
一瞬	一瞬	yīshùn
一瞬间	一瞬间	yīshùnjiān
一知半解	一知半解	yīzhī-bànjiě
一石二鸟	一石二鸟	yīshí-èrniǎo
一码事	一码事	yīmǎshì
一砖一瓦	一砖一瓦	yīzhuānyīwǎ
一碗水端平	一碗水端平	yī wǎn shuǐ duān píng
一神教	一神教	yīshénjiào
一程子	一程子	yīchéngzi
一穷二白	一穷二白	yīqióng-èrbái
一空	一空	yīkōng
一窍不通	一窍不通	yīqiào-bùtōng
一窝蜂	一窝蜂	yīwōfēng
一站式	一站式	yīzhànshì
一端	一端	yīduān
一竿子插到底	一竿子插到底	yī gānzi chā dàodǐ
一笑置之	一笑置之	yīxiào-zhìzhī
一笔勾销	一笔勾销	yībǐ-gōuxiāo
一笔带过	一笔带过	yībǐ-dàiguò
一笔抹杀	一笔抹杀	yībǐ-mǒshā
一筹莫展	一筹莫展	yīchóu-mòzhǎn
一箭双雕	一箭双雕	yījiàn-shuāngdiāo
一米线	一米线	yīmǐxiàn
一系列	一系列	yīxìliè
一级	一级	yījí
一级市场	一级市场	yījí shìchǎng
一纸空文	一纸空文	yīzhǐ-kōngwén
一线	一线	yīxiàn
一线通	一线通	yīxiàntōng
一经	一经	yījīng
一统	一统	yītǒng
一统天下	一统天下	yītǒng-tiānxià
一网打尽	一网打尽	yīwǎng-dǎjìn
一而再，再而三	一而再，再而三	yī'érzài，zài'érsān
一肚子	一肚子	yīdùzi
一股劲	一股劲儿	
一股劲儿	一股劲儿	yīgǔjìnr
一股脑	一股脑儿	
一股脑儿	一股脑儿	yīgǔnǎor
一脉相传	一脉相传	yīmài-xiāngchuán
一脉相承	一脉相承	yīmài-xiāngchéng
一脉相通	一脉相通	yīmài-xiāngtōng
一臂之力	一臂之力	yībìzhīlì
一致	一致	yīzhì
一般	一般	yībān
一般化	一般化	yībānhuà
一般来说	一般来说	yībānláishuō
一般见识	一般见识	yībān-jiànshi
一色	一色	yīsè
一落千丈	一落千丈	yīluò-qiānzhàng
一行	一行	yīxíng
一衣带水	一衣带水	yīyīdàishuǐ
一表人才	一表人才	yībiǎo-réncái
一表非凡	一表非凡	yībiǎo-fēifán
一见倾心	一见倾心	yījiàn-qīngxīn
一见如故	一见如故	yījiàn-rúgù
一见钟情	一见钟情	yījiàn-zhōngqíng
一视同仁	一视同仁	yīshì-tóngrén
一览	一览	yīlǎn
一览无余	一览无余	yīlǎn-wúyú
一览表	一览表	yīlǎnbiǎo
一角	一角	yījiǎo
一触即发	一触即发	yīchù-jífā
一触即溃	一触即溃	yīchù-jíkuì
一言一行	一言一行	yīyán-yīxíng
一言为定	一言为定	yīyánwéidìng
一言九鼎	一言九鼎	yīyán-jiǔdǐng
一言以蔽之	一言以蔽之	yī yán yǐ bì zhī
一言堂	一言堂	yīyántáng
一言既出，驷马难追	一言既出，驷马难追	yīyán-jìchū,sìmǎ-nánzhuī
一言难尽	一言难尽	yīyán-nánjìn
一语双关	一语双关	yīyǔ-shuāngguān
一语破的	一语破的	yīyǔ-pòdì
一语道破	一语道破	yīyǔ-dàopò
一误再误	一误再误	yīwù-zàiwù
一说	一说	yīshuō
一诺千金	一诺千金	yīnuò-qiānjīn
一败涂地	一败涂地	yībài-túdì
一贫如洗	一贫如洗	yīpín-rúxǐ
一贯	一贯	yīguàn
一贯制	一贯制	yīguànzhì
一贯性	一贯性	yīguànxìng
一贯道	一贯道	yīguàndào
一走了之	一走了之	yīzǒu-liǎozhī
一起	一起	yīqǐ
一起一伏	一起一伏	yīqǐ-yīfú
一路	一路	yīlù
一路平安	一路平安	yīlù-píng'ān
一路货	一路货	yīlùhuò
一路顺风	一路顺风	yīlù-shùnfēng
一蹴而就	一蹴而就	yīcù'érjiù
一蹶不振	一蹶不振	yījué-bùzhèn
一身	一身	yīshēn
一身两役	一身两役	yīshēn-liǎngyì
一身是胆	一身是胆	yīshēn-shìdǎn
一转眼	一转眼	yīzhuǎnyǎn
一辈子	一辈子	yībèizi
一边	一边	yībiān
一边倒	一边倒	yībiāndǎo
一连	一连	yīlián
一连串	一连串	yīliánchuàn
