# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

飛機	231	ㄈㄟ ㄐㄧ	fēijī	基礎	第1*級	交通、旅遊	79	65
風	232	ㄈㄥ	fēng	基礎	第1*級	核心詞	101	201
分鐘	233	ㄈㄣ ㄓㄨㄥ	fēnzhōng	基礎	第1*級	核心詞	232	125
附近	234	ㄈㄨˋ ㄐㄧㄣˋ	fùjìn	基礎	第1*級	核心詞	128	152
感冒	235	ㄍㄢˇ ㄇㄠˋ	gǎnmào	基礎	第1*級	身體、醫療	24	37
告訴1	236	ㄍㄠˋ ㄙㄨˋ	gàosù	基礎	第1*級	核心詞	546	363
歌	237	ㄍㄜ	gē	基礎	第1*級	核心詞	68	57
跟	238	ㄍㄣ	gēn	基礎	第1*級	核心詞	1038	3969
公車	239	ㄍㄨㄥ ㄔㄜ	gōngchē	基礎	第1*級	交通、旅遊	18	34
功課	240	ㄍㄨㄥ ㄎㄜˋ	gōngkè	基礎	第1*級	教育、學習	43	93
公園	241	ㄍㄨㄥ ㄩㄢˊ	gōngyuán	基礎	第1*級	日常起居	52	95
夠	242	ㄍㄡˋ	gòu	基礎	第1*級	核心詞	209	267
貴	243	ㄍㄨㄟˋ	guì	基礎	第1*級	個人資料	57	96
過	244	ㄍㄨㄛˋ	guò	基礎	第1*級	核心詞	1712	1404
國家	245	ㄍㄨㄛˊ ㄐㄧㄚ	guójiā	基礎	第1*級	交通、旅遊	363	694
還1	246	ㄏㄞˊ	hái	基礎	第1*級	核心詞	2505	3842
還是	247	ㄏㄞˊ ㄕˋ	háishì	基礎	第1*級	核心詞	626	1030
黑	248	ㄏㄟ	hēi	基礎	第1*級	核心詞	147	111
紅	249	ㄏㄨㄥˊ	hóng	基礎	第1*級	核心詞	137	139
後年	250	ㄏㄡˋ ㄋㄧㄢˊ	hòunián	基礎	第1*級	核心詞	1	0
後天	251	ㄏㄡˋ ㄊㄧㄢ	hòutiān	基礎	第1*級	核心詞	17	14
花1	252	ㄏㄨㄚ	huā	基礎	第1*級	核心詞	336	417
畫	253	ㄏㄨㄚˋ	huà	基礎	第1*級	核心詞	149	229
會	254	ㄏㄨㄟˋ	huì	基礎	第1*級	核心詞	4147	6976
火車	255	ㄏㄨㄛˇ ㄔㄜ	huǒchē	基礎	第1*級	交通、旅遊	58	75
雞	256	ㄐㄧ	jī	基礎	第1*級	個人資料	69	61
見	257	ㄐㄧㄢˋ	jiàn	基礎	第1*級	核心詞	727	293
件	258	ㄐㄧㄢˋ	jiàn	基礎	第1*級	核心詞	563	461
教1	259	ㄐㄧㄠ	jiāo	基礎	第1*級	核心詞	193	340
教室	260	ㄐㄧㄠˋ ㄕˋ	jiàoshì	基礎	第1*級	教育、學習	64	74
家人	261	ㄐㄧㄚ ㄖㄣˊ	jiārén	基礎	第1*級	個人資料	133	197
計程車	262	ㄐㄧˋ ㄔㄥˊ ㄔㄜ	jìchéngchē	基礎	第1*級	交通、旅遊	24	23
介紹	263	ㄐㄧㄝˋ ㄕㄠˋ	jièshào	基礎	第1*級	社交、人際	107	173
進	264	ㄐㄧㄣˋ	jìn	基礎	第1*級	核心詞	163	118
酒	265	ㄐㄧㄡˇ	jiǔ	基礎	第1*級	餐飲、烹飪	175	40
舊	266	ㄐㄧㄡˋ	jiù	基礎	第1*級	核心詞	118	59
覺得	267	ㄐㄩㄝˊ ˙ㄉㄜ	juéde	基礎	第1*級	核心詞	738	2538
句子	268	ㄐㄩˋ ˙ㄗ	jùzi	基礎	第1*級	教育、學習	22	4
開	269	ㄎㄞ	kāi	基礎	第1*級	核心詞	267	344
開車	270	ㄎㄞ ㄔㄜ	kāichē	基礎	第1*級	交通、旅遊	54	27
看病	271	ㄎㄢˋ ㄅㄧㄥˋ	kànbìng	基礎	第1*級	身體、醫療	8	14
看到	272	ㄎㄢˋ ㄉㄠˋ	kàndào	基礎	第1*級	核心詞	659	1347
