# 《国际中文教育中文水平等级标准》1-9级
# 20210324-GF 0025-2021《国际中文教育中文水平等级标准》.pdf
# https://github.com/shawkynasr/HSK-official-Query-System
# https://github.com/dawei7/new_hsk_scraping
# https://pandarin.net/new-hsk/
# http://www.davidpetersson.com/hsk-the-complete-hanban-lists-with-english-definitions/
# https://github.com/gigacool/hanyu-shuiping-kaoshi/blob/master/hsk.csv
#
# 备注，主要区别：
# - 称1（chèn）/称2（chēng）
# - 面1（脸面，方面）/面2（面条，繁体“麵、麪”）
#
# 词语	词性	拼音	序号	级别

殴打	动	ōudǎ	8497	高等
呕吐	动	ǒutù	8498	高等
趴	动	pā	8499	高等
拍板		pāi∥bǎn	8500	高等
拍卖	动	pāimài	8501	高等
拍戏		pāi∥xì	8502	高等
排斥	动	páichì	8503	高等
排放	动	páifàng	8504	高等
排练	动	páiliàn	8505	高等
徘徊	动	páihuái	8506	高等
牌照	名	páizhào	8507	高等
派别	名	pàibié	8508	高等
派遣	动	pàiqiǎn	8509	高等
攀	动	pān	8510	高等
攀升	动	pānshēng	8511	高等
盘	动	pán	8512	高等
盘算	动	pánsuan	8513	高等
判处	动	pànchǔ	8514	高等
判定	动	pàndìng	8515	高等
判决	动	pànjué	8516	高等
盼	动	pàn	8517	高等
叛逆	动、名	pànnì	8518	高等
庞大	形	pángdà	8519	高等
旁观	动	pángguān	8520	高等
抛	动	pāo	8521	高等
抛开		pāokāi	8522	高等
抛弃	动	pāoqì	8523	高等
刨	动	páo	8524	高等
跑车	名	pǎochē	8525	高等
跑道	名	pǎodào	8526	高等
跑龙套		pǎo lóngtào	8527	高等
泡沫	名	pàomò	8528	高等
胚胎	名	pēitāi	8529	高等
陪伴	动	péibàn	8530	高等
陪葬	动	péizàng	8531	高等
赔钱		péi∥qián	8532	高等
佩服	动	pèi·fú	8533	高等
配件	名	pèijiàn	8534	高等
配偶	名	pèi’ǒu	8535	高等
配送	动	pèisòng	8536	高等
配音		pèi∥yīn	8537	高等
喷泉	名	pēnquán	8538	高等
抨击	动	pēngjī	8539	高等
烹调	动	pēngtiáo	8540	高等
蓬勃	形	péngbó	8541	高等
鹏程万里		péngchéng-wànlǐ	8542	高等
膨胀	动	péngzhàng	8543	高等
捧	动	pěng	8544	高等
捧场		pěng∥chǎng	8545	高等
碰钉子		pèng dīngzi	8546	高等
碰巧	副	pèngqiǎo	8547	高等
碰上		pèngshang	8548	高等
碰撞	动	pèngzhuàng	8549	高等
批发	动	pīfā	8550	高等
批判	动	pīpàn	8551	高等
披露	动	pīlù	8552	高等
劈	动	pī	8553	高等
皮带	名	pídài	8554	高等
疲惫	形	píbèi	8555	高等
疲惫不堪		píbèi-bùkān	8556	高等
疲倦	形	píjuàn	8557	高等
疲劳	形	píláo	8558	高等
脾	名	pí	8559	高等
匹配	动	pǐpèi	8560	高等
媲美	动	pìměi	8561	高等
僻静	形	pìjìng	8562	高等
譬如	动	pìrú	8563	高等
譬如说		pìrú shuō	8564	高等
片子	名	piānzi	8565	高等
偏差	名	piānchā	8566	高等
偏方	名	piānfāng	8567	高等
偏见	名	piānjiàn	8568	高等
偏僻	形	piānpì	8569	高等
偏偏	副	piānpiān	8570	高等
偏向	动、名	piānxiàng	8571	高等
偏远	形	piānyuǎn	8572	高等
篇幅	名	piān·fú	8573	高等
片段	名	piànduàn	8574	高等
骗人		piàn rén	8575	高等
漂	动	piāo	8576	高等
飘	动、形	piāo	8577	高等
票房	名	piàofáng	8578	高等
撇	动、名	piě	8579	高等
拼搏	动	pīnbó	8580	高等
拼命		pīn∥mìng	8581	高等
贫富		pín fù	8582	高等
贫穷	形	pínqióng	8583	高等
频率	名	pínlǜ	8584	高等
频频	副	pínpín	8585	高等
品尝	动	pǐncháng	8586	高等
品德	名	pǐndé	8587	高等
品位	名	pǐnwèi	8588	高等
品行	名	pǐnxíng	8589	高等
聘	动	pìn	8590	高等
聘任	动	pìnrèn	8591	高等
聘用	动	pìnyòng	8592	高等
乒乓球	名	pīngpāngqiú	8593	高等
平常心	名	píngchángxīn	8594	高等
平淡	形	píngdàn	8595	高等
平和	形、动	pínghé	8596	高等
平价	动、名	píngjià	8597	高等
平面	名	píngmiàn	8598	高等
平民	名	píngmín	8599	高等
平日	名	píngrì	8600	高等
平息	动	píngxī	8601	高等
评定	动	píngdìng	8602	高等
评论员	名	pínglùnyuán	8603	高等
评判	动	píngpàn	8604	高等
评审	动	píngshěn	8605	高等
评委	名	píngwěi	8606	高等
凭借	动	píngjiè	8607	高等
凭着		píngzhe	8608	高等
凭证	名	píngzhèng	8609	高等
瓶颈	名	píngjǐng	8610	高等
萍水相逢		píngshuǐ-xiāngféng	8611	高等
泼冷水		pō lěngshuǐ	8612	高等
颇	副	pō	8613	高等
迫不及待		pòbùjídài	8614	高等
迫害	动	pòhài	8615	高等
迫使	动	pòshǐ	8616	高等
破案		pò∥àn	8617	高等
破除	动	pòchú	8618	高等
破解	动	pòjiě	8619	高等
破旧	形	pòjiù	8620	高等
破裂	动	pòliè	8621	高等
破灭	动	pòmiè	8622	高等
破碎	动	pòsuì	8623	高等
魄力	名	pòlì	8624	高等
扑克	名	pūkè	8625	高等
扑面而来		pūmiàn-érlái	8626	高等
铺路		pū∥lù	8627	高等
菩萨	名	pú·sà	8628	高等
朴实	形	pǔshí	8629	高等
朴素	形	pǔsù	8630	高等
普通人		pǔtōng rén	8631	高等
谱	动、名	pǔ	8632	高等
瀑布	名	pùbù	8633	高等
七嘴八舌		qīzuǐ-bāshé	8634	高等
沏	动	qī	8635	高等
凄凉	形	qīliáng	8636	高等
期盼	动	qīpàn	8637	高等
欺骗	动	qīpiàn	8638	高等
欺诈	动	qīzhà	8639	高等
漆	名、动	qī	8640	高等
齐心协力		qíxīn-xiélì	8641	高等
其后	名	qíhòu	8642	高等
其间	名	qíjiān	8643	高等
奇花异草		qíhuā-yìcǎo	8644	高等
奇迹	名	qíjì	8645	高等
奇特	形	qítè	8646	高等
歧视	动	qíshì	8647	高等
祈祷	动	qídǎo	8648	高等
棋	名	qí	8649	高等
棋子	名	qízǐ	8650	高等
旗袍	名	qípáo	8651	高等
旗帜	名	qízhì	8652	高等
乞丐	名	qǐgài	8653	高等
乞求	动	qǐqiú	8654	高等
乞讨	动	qǐtǎo	8655	高等
岂有此理		qǐyǒucǐlǐ	8656	高等
启迪	动	qǐdí	8657	高等
启蒙	动	qǐméng	8658	高等
启示	动、名	qǐshì	8659	高等
起步	动	qǐbù	8660	高等
起草		qǐ∥cǎo	8661	高等
起程	动	qǐchéng	8662	高等
起初	名	qǐchū	8663	高等
起伏	动	qǐfú	8664	高等
起劲	形	qǐjìn	8665	高等
起跑线	名	qǐpǎoxiàn	8666	高等
起源	动、名	qǐyuán	8667	高等
气愤	形	qìfèn	8668	高等
气管	名	qìguǎn	8669	高等
气馁	形	qìněi	8670	高等
气派	名、形	qìpài	8671	高等
气泡	名	qìpào	8672	高等
气魄	名	qìpò	8673	高等
气势	名	qìshì	8674	高等
气味	名	qìwèi	8675	高等
气息	名	qìxī	8676	高等
气质	名	qìzhì	8677	高等
迄今	动	qìjīn	8678	高等
迄今为止		qìjīn-wéizhǐ	8679	高等
契机	名	qìjī	8680	高等
契约	名	qìyuē	8681	高等
器材	名	qìcái	8682	高等
器械	名	qìxiè	8683	高等
掐	动	qiā	8684	高等
卡	动	qiǎ	8685	高等
卡子	名	qiǎzi	8686	高等
洽谈	动	qiàtán	8687	高等
恰到好处		qiàdào-hǎochù	8688	高等
恰恰相反		qiàqià xiāngfǎn	8689	高等
恰巧	副	qiàqiǎo	8690	高等
恰如其分		qiàrú-qífèn	8691	高等
千变万化		qiānbiàn-wànhuà	8692	高等
千方百计		qiānfāng-bǎijì	8693	高等
千家万户		qiānjiā-wànhù	8694	高等
千军万马		qiānjūn-wànmǎ	8695	高等
千钧一发		qiānjūn-yífà	8696	高等
迁	动	qiān	8697	高等
迁就	动	qiānjiù	8698	高等
迁移	动	qiānyí	8699	高等
牵扯	动	qiānchě	8700	高等
牵挂	动	qiānguà	8701	高等
牵涉	动	qiānshè	8702	高等
牵头		qiān∥tóu	8703	高等
牵制	动	qiānzhì	8704	高等
铅	名	qiān	8705	高等
谦逊	形	qiānxùn	8706	高等
签	名	qiān	8707	高等
签署	动	qiānshǔ	8708	高等
前辈	名	qiánbèi	8709	高等
前不久	名	qiánbùjiǔ	8710	高等
前赴后继		qiánfù-hòujì	8711	高等
前期	名	qiánqī	8712	高等
前任	名	qiánrèn	8713	高等
前所未有		qiánsuǒwèiyǒu	8714	高等
前台	名	qiántái	8715	高等
前无古人		qiánwúgǔrén	8716	高等
前夕	名	qiánxī	8717	高等
前线	名	qiánxiàn	8718	高等
前沿	名	qiányán	8719	高等
前仰后合		qiányǎng-hòuhé	8720	高等
前者	名	qiánzhě	8721	高等
虔诚	形	qiánchéng	8722	高等
钱财	名	qiáncái	8723	高等
钳子	名	qiánzi	8724	高等
潜能	名	qiánnéng	8725	高等
潜水	动	qiánshuǐ	8726	高等
潜艇	名	qiántǐng	8727	高等
潜移默化		qiányí-mòhuà	8728	高等
潜在	形	qiánzài	8729	高等
谴责	动	qiǎnzé	8730	高等
欠缺	动、名	qiànquē	8731	高等
欠条	名	qiàntiáo	8732	高等
歉意	名	qiànyì	8733	高等
呛	动	qiāng	8734	高等
枪毙	动	qiāngbì	8735	高等
腔	名	qiāng	8736	高等
强加	动	qiángjiā	8737	高等
强劲	形	qiángjìng	8738	高等
强项	名	qiángxiàng	8739	高等
强行	副	qiángxíng	8740	高等
强硬	形	qiángyìng	8741	高等
强占	动	qiángzhàn	8742	高等
强制	动	qiángzhì	8743	高等
抢夺	动	qiǎngduó	8744	高等
抢劫	动	qiǎngjié	8745	高等
抢眼	形	qiǎngyǎn	8746	高等
敲边鼓		qiāo biāngǔ	8747	高等
敲诈	动	qiāozhà	8748	高等
乔装	动	qiáozhuāng	8749	高等
瞧不起	动	qiáobuqǐ	8750	高等
巧合	形	qiǎohé	8751	高等
窍门	名	qiàomén	8752	高等
翘	动	qiào	8753	高等
撬	动	qiào	8754	高等
切除	动	qiēchú	8755	高等
切断		qiēduàn	8756	高等
切割	动	qiēgē	8757	高等
且	副	qiě	8758	高等
且	连	qiě	8759	高等
切身	形	qièshēn	8760	高等
窃取	动	qièqǔ	8761	高等
钦佩	动	qīnpèi	8762	高等
侵害	动	qīnhài	8763	高等
侵略	动	qīnlüè	8764	高等
侵权	动	qīnquán	8765	高等
侵占	动	qīnzhàn	8766	高等
亲和力	名	qīnhélì	8767	高等
亲近	形、动	qīnjìn	8768	高等
亲朋好友		qīnpéng-hǎoyǒu	8769	高等
亲戚	名	qīnqi	8770	高等
亲情	名	qīnqíng	8771	高等
亲热	形、动	qīnrè	8772	高等
亲身	形	qīnshēn	8773	高等
亲生	形	qīnshēng	8774	高等
亲手	副	qīnshǒu	8775	高等
亲友	名	qīnyǒu	8776	高等
勤工俭学		qíngōng-jiǎnxué	8777	高等
勤快	形	qínkuai	8778	高等
勤劳	形	qínláo	8779	高等
寝室	名	qǐnshì	8780	高等
青春期	名	qīngchūnqī	8781	高等
青蛙	名	qīngwā	8782	高等
轻而易举		qīng’éryìjǔ	8783	高等
轻蔑	动	qīngmiè	8784	高等
轻微	形	qīngwēi	8785	高等
轻型	形	qīngxíng	8786	高等
倾家荡产		qīngjiā-dàngchǎn	8787	高等
倾诉	动	qīngsù	8788	高等
倾听	动	qīngtīng	8789	高等
倾销	动	qīngxiāo	8790	高等
倾斜	动	qīngxié	8791	高等
清除	动	qīngchú	8792	高等
清脆	形	qīngcuì	8793	高等
清单	名	qīngdān	8794	高等
清淡	形	qīngdàn	8795	高等
清静	形	qīngjìng	8796	高等
清凉	形	qīngliáng	8797	高等
清明	形	qīngmíng	8798	高等
清晰	形	qīngxī	8799	高等
清新	形	qīngxīn	8800	高等
清真寺	名	qīngzhēnsì	8801	高等
情	名	qíng	8802	高等
情报	名	qíngbào	8803	高等
情不自禁		qíngbúzìjīn	8804	高等
情调	名	qíngdiào	8805	高等
情怀	名	qínghuái	8806	高等
情结	名	qíngjié	8807	高等
情侣	名	qínglǚ	8808	高等
情人	名	qíngrén	8809	高等
情谊	名	qíngyì	8810	高等
情愿	动、副	qíngyuàn	8811	高等
请柬	名	qǐngjiǎn	8812	高等
请帖	名	qǐngtiě	8813	高等
庆典	名	qìngdiǎn	8814	高等
庆贺	动	qìnghè	8815	高等
庆幸	动	qìngxìng	8816	高等
丘陵	名	qiūlíng	8817	高等
囚犯	名	qiúfàn	8818	高等
求婚		qiú∥hūn	8819	高等
求救	动	qiújiù	8820	高等
求学	动	qiúxué	8821	高等
求医	动	qiúyī	8822	高等
求证	动	qiúzhèng	8823	高等
求助	动	qiúzhù	8824	高等
曲线	名	qūxiàn	8825	高等
曲折	形	qūzhé	8826	高等
驱动	动	qūdòng	8827	高等
驱逐	动	qūzhú	8828	高等
屈服	动	qūfú	8829	高等
趋于	动	qūyú	8830	高等
曲	名	qǔ	8831	高等
取代	动	qǔdài	8832	高等
取缔	动	qǔdì	8833	高等
取而代之		qǔ’érdàizhī	8834	高等
取经		qǔ∥jīng	8835	高等
取决于		qǔjué yú	8836	高等
取暖	动	qǔnuǎn	8837	高等
取胜	动	qǔshèng	8838	高等
取笑	动	qǔxiào	8839	高等
娶	动	qǔ	8840	高等
去除	动	qùchú	8841	高等
去处	名	qùchù	8842	高等
去向	名	qùxiàng	8843	高等
趣味	名	qùwèi	8844	高等
圈套	名	quāntào	8845	高等
圈子	名	quānzi	8846	高等
权衡	动	quánhéng	8847	高等
权威	名	quánwēi	8848	高等
权益	名	quányì	8849	高等
全长	名	quáncháng	8850	高等
全程	名	quánchéng	8851	高等
全方位	名	quánfāngwèi	8852	高等
全局	名	quánjú	8853	高等
全力以赴		quánlìyǐfù	8854	高等
全能	形	quánnéng	8855	高等
全文	名	quánwén	8856	高等
全心全意		quánxīn-quányì	8857	高等
拳	名、动	quán	8858	高等
拳头	名	quán·tóu	8859	高等
劝告	动、名	quàngào	8860	高等
劝说	动	quànshuō	8861	高等
劝阻	动	quànzǔ	8862	高等
缺口	名	quēkǒu	8863	高等
缺失	名、动	quēshī	8864	高等
缺席		quē∥xí	8865	高等
确切	形	quèqiè	8866	高等
确信	动	quèxìn	8867	高等
确凿	形	quèzáo	8868	高等
确诊	动	quèzhěn	8869	高等
燃放	动	ránfàng	8870	高等
燃气	名	ránqì	8871	高等
燃油	名	rányóu	8872	高等
嚷	动	rǎng	8873	高等
让步		ràng∥bù	8874	高等
饶	动	ráo	8875	高等
饶恕	动	ráoshù	8876	高等
扰乱	动	rǎoluàn	8877	高等
绕行	动	ràoxíng	8878	高等
惹	动	rě	8879	高等
热潮	名	rècháo	8880	高等
热带	名	rèdài	8881	高等
热气	名	rèqì	8882	高等
热气球	名	rèqìqiú	8883	高等
热腾腾	形	rèténgténg	8884	高等
热衷	动	rèzhōng	8885	高等
人次	量	réncì	8886	高等
人道	名、形	réndào	8887	高等
人格	名	réngé	8888	高等
人工智能		réngōng-zhìnéng	8889	高等
人均	动	rénjūn	8890	高等
人品	名	rénpǐn	8891	高等
人气	名	rénqì	8892	高等
人情	名	rénqíng	8893	高等
人身	名	rénshēn	8894	高等
人事	名	rénshì	8895	高等
人手	名	rénshǒu	8896	高等
人体	名	réntǐ	8897	高等
人为	形	rénwéi	8898	高等
人文	名	rénwén	8899	高等
人行道	名	rénxíngdào	8900	高等
人性	名	rénxìng	8901	高等
人选	名	rénxuǎn	8902	高等
人缘儿	名	rényuánr	8903	高等
人造	形	rénzào	8904	高等
人质	名	rénzhì	8905	高等
仁慈	形	réncí	8906	高等
忍饥挨饿		rěnjī-ái’è	8907	高等
忍耐	动	rěnnài	8908	高等
忍心		rěn∥xīn	8909	高等
认错		rèn∥cuò	8910	高等
认证	动	rènzhèng	8911	高等
认知	动	rènzhī	8912	高等
任命	动	rènmìng	8913	高等
任期	名	rènqī	8914	高等
任人宰割		rènrén-zǎigē	8915	高等
任意	副	rènyì	8916	高等
任职		rèn∥zhí	8917	高等
韧性	名	rènxìng	8918	高等
日程	名	rìchéng	8919	高等
日复一日		rìfùyírì	8920	高等
日后	名	rìhòu	8921	高等
日前	名	rìqián	8922	高等
日趋	副	rìqū	8923	高等
日新月异		rìxīn-yuèyì	8924	高等
日益	副	rìyì	8925	高等
荣获	动	rónghuò	8926	高等
荣幸	形	róngxìng	8927	高等
荣誉	名	róngyù	8928	高等
容光焕发		róngguāng-huànfā	8929	高等
容量	名	róngliàng	8930	高等
容纳	动	róngnà	8931	高等
容忍	动	róngrěn	8932	高等
容许	动	róngxǔ	8933	高等
容颜	名	róngyán	8934	高等
溶解	动	róngjiě	8935	高等
融	动	róng	8936	高等
融化	动	rónghuà	8937	高等
融洽	形	róngqià	8938	高等
冗长	形	rǒngcháng	8939	高等
柔和	形	róuhé	8940	高等
柔软	形	róuruǎn	8941	高等
揉	动	róu	8942	高等
如果说		rúguǒ shuō	8943	高等
如实	副	rúshí	8944	高等
如意		rú∥yì	8945	高等
如愿以偿		rúyuànyǐcháng	8946	高等
如醉如痴		rúzuì-rúchī	8947	高等
儒家	名	Rújiā	8948	高等
儒学	名	rúxué	8949	高等
入场		rù∥chǎng	8950	高等
入场券	名	rùchǎngquàn	8951	高等
入境		rù∥jìng	8952	高等
入侵	动	rùqīn	8953	高等
入手	动	rùshǒu	8954	高等
入选	动	rùxuǎn	8955	高等
软弱	形	ruǎnruò	8956	高等
软实力	名	ruǎnshílì	8957	高等
瑞雪	名	ruìxuě	8958	高等
润	形、动	rùn	8959	高等
若干	代	ruògān	8960	高等
弱点	名	ruòdiǎn	8961	高等
弱势	名	ruòshì	8962	高等
撒	动	sā	8963	高等
撒谎		sā∥huǎng	8964	高等
赛车	名	sàichē	8965	高等
赛跑	动	sàipǎo	8966	高等
三番五次		sānfān-wǔcì	8967	高等
三角	名、形	sānjiǎo	8968	高等
三维	形	sānwéi	8969	高等
散布	动	sànbù	8970	高等
散发	动	sànfā	8971	高等
桑拿	名	sāngná	8972	高等
嗓子	名	sǎngzi	8973	高等
丧生		sàng∥shēng	8974	高等
骚乱	动	sāoluàn	8975	高等
骚扰	动	sāorǎo	8976	高等
扫除	动	sǎochú	8977	高等
扫描	动	sǎomiáo	8978	高等
扫墓		sǎo∥mù	8979	高等
扫兴		sǎo∥xìng	8980	高等
嫂子	名	sǎozi	8981	高等
僧人	名	sēngrén	8982	高等
杀害	动	shāhài	8983	高等
杀手	名	shāshǒu	8984	高等
沙龙	名	shālóng	8985	高等
沙滩	名	shātān	8986	高等
纱	名	shā	8987	高等
刹车	名	shāchē	8988	高等
砂糖	名	shātáng	8989	高等
鲨鱼	名	shāyú	8990	高等
傻瓜	名	shǎguā	8991	高等
筛	动	shāi	8992	高等
筛选	动	shāixuǎn	8993	高等
晒太阳		shài tàiyáng	8994	高等
山川	名	shānchuān	8995	高等
山顶	名	shāndǐng	8996	高等
山冈	名	shāngāng	8997	高等
山岭	名	shānlǐng	8998	高等
山路	名	shānlù	8999	高等
山寨	名	shānzhài	9000	高等
删	动	shān	9001	高等
删除	动	shānchú	9002	高等
煽动	动	shāndòng	9003	高等
闪烁	动	shǎnshuò	9004	高等
善	形	shàn	9005	高等
善意	名	shànyì	9006	高等
擅长	动	shàncháng	9007	高等
擅自	副	shànzì	9008	高等
膳食	名	shànshí	9009	高等
赡养	动	shànyǎng	9010	高等
伤残	动	shāngcán	9011	高等
伤感	形	shānggǎn	9012	高等
伤痕	名	shānghén	9013	高等
伤脑筋		shāng nǎojīn	9014	高等
伤势	名	shāngshì	9015	高等
商贩	名	shāngfàn	9016	高等
商贾	名	shānggǔ	9017	高等
商讨	动	shāngtǎo	9018	高等
上报	动	shàngbào	9019	高等
上场		shàng∥chǎng	9020	高等
上方	名	shàngfāng	9021	高等
上岗		shàng∥gǎng	9022	高等
上火		shàng∥huǒ	9023	高等
上空	名	shàngkōng	9024	高等
上流	名	shàngliú	9025	高等
上期		shàng qī	9026	高等
上任		shàng∥rèn	9027	高等
上述	形	shàngshù	9028	高等
上司	名	shàngsi	9029	高等
上诉	动	shàngsù	9030	高等
上调	动	shàngtiáo	9031	高等
上头	名	shàngtou	9032	高等
上限	名	shàngxiàn	9033	高等
上旬	名	shàngxún	9034	高等
上瘾		shàng∥yǐn	9035	高等
上映	动	shàngyìng	9036	高等
上游	名	shàngyóu	9037	高等
尚	副、连	shàng	9038	高等
尚未	副	shàngwèi	9039	高等
捎	动	shāo	9040	高等
烧毁	动	shāohuǐ	9041	高等
烧烤	名	shāokǎo	9042	高等
稍后	副	shāohòu	9043	高等
稍候	动	shāohòu	9044	高等
稍稍	副	shāoshāo	9045	高等
少不了	动	shǎobuliǎo	9046	高等
少见	动、形	shǎojiàn	9047	高等
少量	形	shǎoliàng	9048	高等
少有		shǎoyǒu	9049	高等
少林寺	名	Shàolín Sì	9050	高等
少女	名	shàonǚ	9051	高等
奢侈	形	shēchǐ	9052	高等
奢望	动、名	shēwàng	9053	高等
设	动	shè	9054	高等
设定	动	shèdìng	9055	高等
设法	动	shèfǎ	9056	高等
社会主义		shèhuì zhǔyì	9057	高等
社交	名	shèjiāo	9058	高等
社论	名	shèlùn	9059	高等
社团	名	shètuán	9060	高等
涉嫌	动	shèxián	9061	高等
摄氏度	量	shèshìdù	9062	高等
谁知道		shéi zhīdào	9063	高等
申办	动	shēnbàn	9064	高等
申报	动	shēnbào	9065	高等
申领	动	shēnlǐng	9066	高等
伸手		shēn∥shǒu	9067	高等
伸缩	动	shēnsuō	9068	高等
伸张	动	shēnzhāng	9069	高等
身不由己		shēnbùyóujǐ	9070	高等
身价	名	shēnjià	9071	高等
身躯	名	shēnqū	9072	高等
身心	名	shēnxīn	9073	高等
身影	名	shēnyǐng	9074	高等
身子	名	shēnzi	9075	高等
绅士	名	shēnshì	9076	高等
深奥	形	shēn’ào	9077	高等
深切	形	shēnqiè	9078	高等
深情	名、形	shēnqíng	9079	高等
深入人心		shēnrù-rénxīn	9080	高等
深受	动	shēnshòu	9081	高等
深思	动	shēnsī	9082	高等
深信	动	shēnxìn	9083	高等
深夜	名	shēnyè	9084	高等
深远	形	shēnyuǎn	9085	高等
神气	名、形	shén·qì	9086	高等
神圣	形	shénshèng	9087	高等
神态	名	shéntài	9088	高等
神仙	名	shén·xiān	9089	高等
审	动	shěn	9090	高等
审定	动	shěndìng	9091	高等
审核	动	shěnhé	9092	高等
审美	动	shěnměi	9093	高等
审判	动	shěnpàn	9094	高等
审批	动	shěnpī	9095	高等
审视	动	shěnshì	9096	高等
肾	名	shèn	9097	高等
甚至于	副	shènzhìyú	9098	高等
渗	动	shèn	9099	高等
渗透	动	shèntòu	9100	高等
慎重	形	shènzhòng	9101	高等
升温	动	shēngwēn	9102	高等
生机	名	shēngjī	9103	高等
生理	名	shēnglǐ	9104	高等
生命线	名	shēngmìngxiàn	9105	高等
生怕	动	shēngpà	9106	高等
生平	名	shēngpíng	9107	高等
生前	名	shēngqián	9108	高等
生死	名、形	shēngsǐ	9109	高等
生态	名	shēngtài	9110	高等
生物	名	shēngwù	9111	高等
生效		shēng∥xiào	9112	高等
生涯	名	shēngyá	9113	高等
生硬	形	shēngyìng	9114	高等
生育	动	shēngyù	9115	高等
声称	动	shēngchēng	9116	高等
声望	名	shēngwàng	9117	高等
声誉	名	shēngyù	9118	高等
牲畜	名	shēngchù	9119	高等
绳子	名	shéngzi	9120	高等
省略	动	shěnglüè	9121	高等
省事		shěng∥shì	9122	高等
圣贤	名	shèngxián	9123	高等
胜出	动	shèngchū	9124	高等
胜任	动	shèngrèn	9125	高等
盛大	形	shèngdà	9126	高等
盛会	名	shènghuì	9127	高等
盛开	动	shèngkāi	9128	高等
盛气凌人		shèngqì-língrén	9129	高等
剩余	动	shèngyú	9130	高等
尸体	名	shītǐ	9131	高等
失传	动	shīchuán	9132	高等
失控	动	shīkòng	9133	高等
失利		shī∥lì	9134	高等
失恋		shī∥liàn	9135	高等
失灵	动	shīlíng	9136	高等
失落	动、形	shīluò	9137	高等
失眠		shī∥mián	9138	高等
失明		shī∥míng	9139	高等
失效		shī∥xiào	9140	高等
失业率	名	shīyèlǜ	9141	高等
失踪		shī∥zōng	9142	高等
师范	名	shīfàn	9143	高等
师长	名	shīzhǎng	9144	高等
师资	名	shīzī	9145	高等
狮子	名	shīzi	9146	高等
施工		shī∥gōng	9147	高等
施加	动	shījiā	9148	高等
施行	动	shīxíng	9149	高等
施压	动	shīyā	9150	高等
湿度	名	shīdù	9151	高等
湿润	形	shīrùn	9152	高等
十字路口		shízì lùkǒu	9153	高等
时不时	副	shíbùshí	9154	高等
时段	名	shíduàn	9155	高等
时隔		shí gé	9156	高等
时好时坏		shíhǎo-shíhuài	9157	高等
时间表	名	shíjiānbiǎo	9158	高等
时空	名	shíkōng	9159	高等
时髦	形	shímáo	9160	高等
时尚	形	shíshàng	9161	高等
时速	名	shísù	9162	高等
识别	动	shíbié	9163	高等
实地	副	shídì	9164	高等
实话	名	shíhuà	9165	高等
实话实说		shíhuà-shíshuō	9166	高等
实况	名	shíkuàng	9167	高等
实事求是		shíshì-qiúshì	9168	高等
实体	名	shítǐ	9169	高等
实物	名	shíwù	9170	高等
实质	名	shízhì	9171	高等
食宿	名	shísù	9172	高等
食用	动	shíyòng	9173	高等
史无前例		shǐwúqiánlì	9174	高等
使唤	动	shǐhuan	9175	高等
使命	名	shǐmìng	9176	高等
使者	名	shǐzhě	9177	高等
士气	名	shìqì	9178	高等
示威	动	shìwēi	9179	高等
示意	动	shìyì	9180	高等
世代	名	shìdài	9181	高等
世故	形	shìgu	9182	高等
世界级		shìjiè jí	9183	高等
世袭	动	shìxí	9184	高等
市场经济		shìchǎng jīngjì	9185	高等
势必	副	shìbì	9186	高等
势不可当		shìbùkědāng	9187	高等
势头	名	shìtou	9188	高等
事迹	名	shìjì	9189	高等
事态	名	shìtài	9190	高等
事务	名	shìwù	9191	高等
事务所	名	shìwùsuǒ	9192	高等
事项	名	shìxiàng	9193	高等
事宜	名	shìyí	9194	高等
侍候	动	shìhòu	9195	高等
试探	动	shìtan	9196	高等
试行	动	shìxíng	9197	高等
试用	动	shìyòng	9198	高等
试用期	名	shìyòngqī	9199	高等
视察	动	shìchá	9200	高等
视角	名	shìjiǎo	9201	高等
视觉	名	shìjué	9202	高等
视力	名	shìlì	9203	高等
视线	名	shìxiàn	9204	高等
视野	名	shìyě	9205	高等
柿子	名	shìzi	9206	高等
是非	名	shìfēi	9207	高等
适度	形	shìdù	9208	高等
适量	形	shìliàng	9209	高等
适时	形	shìshí	9210	高等
适宜	形	shìyí	9211	高等
逝世	动	shìshì	9212	高等
释放	动	shìfàng	9213	高等
嗜好	名	shìhào	9214	高等
收复	动	shōufù	9215	高等
收据	名	shōujù	9216	高等
收敛	动	shōuliǎn	9217	高等
收留	动	shōuliú	9218	高等
收买	动	shōumǎi	9219	高等
收视率	名	shōushìlǜ	9220	高等
收缩	动	shōusuō	9221	高等
收支	名	shōuzhī	9222	高等
手臂	名	shǒubì	9223	高等
手册	名	shǒucè	9224	高等
手动	形	shǒudòng	9225	高等
手脚	名	shǒujiǎo	9226	高等
手帕	名	shǒupà	9227	高等
手枪	名	shǒuqiāng	9228	高等
手势	名	shǒushì	9229	高等
手术室	名	shǒushùshì	9230	高等
手头	名	shǒutóu	9231	高等
手腕	名	shǒuwàn	9232	高等
手艺	名	shǒuyì	9233	高等
手掌	名	shǒuzhǎng	9234	高等
守候	动	shǒuhòu	9235	高等
守护	动	shǒuhù	9236	高等
守株待兔		shǒuzhū-dàitù	9237	高等
首创	动	shǒuchuàng	9238	高等
首府	名	shǒufǔ	9239	高等
首批		shǒupī	9240	高等
首饰	名	shǒu·shì	9241	高等
