# 香港粵語大詞典
# https://061061.xyz/39336.html
#
# 詞語	括號詞	頁碼

倒米		0116
倒米壽星		0116
倒模		0116
倒瓤		0116
倒瀉		0116
倒瀉籮蟹		0116
倒塔咁早		0116
倒錢落海		0116
賭波		0116
賭檔		0116
賭仔		0117
賭番攤		0117
賭館		0117
賭纜		0117
賭馬		0117
賭船		0117
度		0117
艔	渡	0117
到		0117
……到爆		0117
到埗	到埠	0117
……到飛起		0117
……到夠		0117
到喉唔到肺		0117
到其時		0117
……到唔恨		0117
……到死		0117
到時到候		0117
到會		0117
倒掟		0117
倒吊荷包		0117
倒吊冇滴墨水		0118
倒吊眉眼		0118
倒吊砂煲		0118
倒轉		0118
倒轉頭		0118
倒後鏡		0118
倒汗水		0118
倒扱牙		0118
倒眼		0118
倒褪		0118
倒刺		0118
度		0118
度度		0118
度假屋		0118
……度嘢		0118
杜		0118
道姑		0118
道行		0118
道友		0118
導賞		0118
篤		0118
篤爆		0118
篤波		0118
篤背脊		0118
篤底		0119
篤眼篤鼻		0119
篤數		0119
督		0119
督卒		0119
督爺		0119
督察		0119
毒		0119
毒格		0119
毒男		0119
獨家村		0119
獨沽一味		0119
獨係		0119
獨行俠		0119
獨贏		0119
獨市生意		0119
獨食		0119
獨睡		0119
讀破字膽		0119
讀屎片		0119
冬		0119
冬大過年		0119
冬菇		0120
冬瓜豆腐		0120
冬瓜盅		0120
冬果		0120
冬前腊鴨——隻掕隻		0120
東家唔打打西家		0120
東區走廊		0120
東華三院		0120
凍		0120
凍冰冰		0120
凍滾水		0120
凍過水		0120
凍飲		0120
凍薪		0120
戙		0120
戙篤企		0120
戙篤笑		0120
戙起床板		0120
戙企		0120
戙企水魚		0120
動粗		0121
嘟咭		0121
短打		0121
短度闊封		0121
短椿		0121
短火		0121
短命		0121
短命種		0121
短切切		0121
斷		0121
斷斷		0121
斷打		0121
斷估		0121
斷搶		0121
嘟		0121
揸		0121
揸大旗		0121
揸大葵扇		0121
揸兜		0121
揸正嚟做		0121
揸莊		0122
揸主意		0122
揸弗		0122
揸弗人		0122
揸頸就命		0122
揸腰		0122
揸拿		0122
揸手		0122
揸數		0122
揸水煲		0122
揸舦		0122
渣		0122
渣都冇		0122
咋喳		0122
鮓		0122
鮓斗		0122
咋		0122
詐		0122
詐彈		0122
詐諦		0122
詐癲扮傻		0122
詐嗲		0122
詐詐諦諦		0123
詐假意		0123
詐嬌		0123
詐型		0123
詐傻扮懵		0123
詐傻納福		0123
炸版		0123
痄腮		0123
咋		0123
揸揸林		0123
拃		0123
